player,overs,balls,maidens,runs,wickets,run_rate,0s,4s,6s,wd,nb,team,opponent,innings
Dilshan Madushanka,10,60,0,80,5,8,25,8,2,6,0,Sri Lanka,India,1
Dushmantha Chameera,10,60,2,71,1,7.1,28,8,2,0,0,Sri Lanka,India,1
Kasun Rajitha,9,54,0,65,0,7.22,25,7,2,1,0,Sri Lanka,India,1
Angelo Mathews,3,18,0,11,0,3.66,10,1,0,0,0,Sri Lanka,India,1
Maheesh Theekshana,10,60,0,67,0,6.7,18,5,1,1,0,Sri Lanka,India,1
Dushan Hemantha,8,48,0,52,0,6.5,17,2,2,0,1,Sri Lanka,India,1
Aryan Dutt,10,60,0,48,1,4.8,37,7,0,2,0,Netherlands,Pakistan,1
Logan van Beek,6,36,0,30,1,5,20,4,0,1,0,Netherlands,Pakistan,1
Colin Ackermann,8,48,1,39,2,4.87,26,1,2,0,0,Netherlands,Pakistan,1
Paul van Meekeren,6,36,0,40,1,6.66,16,5,0,2,0,Netherlands,Pakistan,1
Bas de Leede,9,54,0,62,4,6.88,22,9,0,3,0,Netherlands,Pakistan,1
Roelof van der Merwe,6,36,0,36,0,6,14,2,1,0,1,Netherlands,Pakistan,1
Vikramjit Singh,2,12,0,16,0,8,5,3,0,0,0,Netherlands,Pakistan,1
Saqib Zulfiqar,2,12,0,15,0,7.5,3,2,0,0,0,Netherlands,Pakistan,1
Mitchell Starc,10,60,0,55,3,5.5,30,4,1,3,0,Australia,India,1
Josh Hazlewood,10,60,0,60,2,6,22,4,1,1,0,Australia,India,1
Glenn Maxwell,6,36,0,35,1,5.83,19,4,1,0,0,Australia,India,1
Pat Cummins,10,60,0,34,2,3.4,30,0,0,2,0,Australia,India,1
Adam Zampa,10,60,0,44,1,4.4,22,1,0,1,0,Australia,India,1
Mitchell Marsh,2,12,0,5,0,2.5,7,0,0,0,0,Australia,India,1
Travis Head,2,12,0,4,0,2,8,0,0,0,0,Australia,India,1
David Willey,10,60,2,45,3,4.5,39,4,2,0,0,England,India,1
Chris Woakes,9,54,1,33,2,3.66,36,3,0,1,0,England,India,1
Adil Rashid,10,60,0,35,2,3.5,35,3,0,0,0,England,India,1
Mark Wood,9,54,1,46,1,5.11,32,3,2,2,0,England,India,1
Liam Livingstone,4,24,1,29,0,7.25,13,5,0,0,0,England,India,1
Moeen Ali,8,48,0,37,0,4.62,19,2,0,0,0,England,India,1
Dilshan Madushanka,9.4,58,1,49,4,5.06,33,4,0,3,1,Sri Lanka,Netherlands,1
Kasun Rajitha,9,54,0,50,4,5.55,32,5,0,6,0,Sri Lanka,Netherlands,1
Chamika Karunaratne,9,54,1,58,0,6.44,25,1,2,6,0,Sri Lanka,Netherlands,1
Maheesh Theekshana,10,60,0,44,1,4.4,28,0,0,2,0,Sri Lanka,Netherlands,1
Dushan Hemantha,8,48,0,42,0,5.25,23,3,1,0,0,Sri Lanka,Netherlands,1
Dhananjaya de Silva,4,24,0,13,0,3.25,16,0,0,3,0,Sri Lanka,Netherlands,1
Mustafizur Rahman,9,54,0,76,0,8.44,15,7,2,2,0,Bangladesh,South Africa,1
Mehidy Hasan Miraz,9,54,0,44,1,4.88,29,3,1,2,0,Bangladesh,South Africa,1
Shoriful Islam,9,54,0,76,1,8.44,19,6,4,0,0,Bangladesh,South Africa,1
Shakib Al Hasan,9,54,0,69,1,7.66,24,5,4,1,0,Bangladesh,South Africa,1
Hasan Mahmud,6,36,0,67,2,11.16,12,3,6,1,0,Bangladesh,South Africa,1
Nasum Ahmed,5,30,0,27,0,5.4,11,1,1,0,0,Bangladesh,South Africa,1
Mahmudullah,3,18,0,20,0,6.66,7,1,1,1,0,Bangladesh,South Africa,1
Trent Boult,10,60,0,45,2,4.5,37,5,1,2,0,New Zealand,Bangladesh,1
Matt Henry,10,60,0,58,2,5.8,27,6,0,0,1,New Zealand,Bangladesh,1
Lockie Ferguson,10,60,0,49,3,4.9,44,4,3,2,2,New Zealand,Bangladesh,1
Mitchell Santner,10,60,1,31,1,3.1,36,2,0,0,0,New Zealand,Bangladesh,1
Glenn Phillips,2,12,0,13,1,6.5,8,1,1,0,1,New Zealand,Bangladesh,1
